,Linear Regression,Ridge Regression,KNN,AdaBoost,RandomForest,XGBoost
MSLE,0.0664684580928441,0.06931538594260565,0.7003913809900789,0.019648360124714086,0.019596002182811368,0.020941463063322584
Root MSLE,0.2578147747760863,0.2632781531813942,0.8368938887278834,0.14017260832528616,0.1399857213533272,0.14471165489801638
R2 Score,0.8620126784331272,0.8537799529628233,-0.15968483601131478,0.92620684522075,0.9124948766104236,0.91425754796777
Accuracy(%),86.2013,85.37799999999999,-15.9685,92.6207,91.2495,91.4258
